"county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","cases_per_10000","deaths_per_10000","death_per_case"
"Wilbarger County",1707,41,12972,6415,6557,7708,1034,119,3710,95,15,43913,2740,1771,453,191,1455,170,37.2,1861,2227,2447,1783,2291,2725,388,6329,11996,51,109,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-22,8.93693693693694,1315.9111933395,31.6065371569534,0.0240187463386057
"Willacy County",1970,69,21839,11821,10018,2415,142,22,19208,2,0,29104,3906,1218,441,172,827,252,33.4,3591,5378,3090,2938,3816,3603,1087,6415,11744,181,315,-17.2477876106195,-24,-23.0612244897959,-11.0555555555556,-37,8.93693693693694,902.055954942992,31.5948532441962,0.0350253807106599
"Williamson County",29796,269,508313,250106,258207,309652,30364,30611,122387,962,896,79123,48936,57453,34954,28708,41977,8828,35.8,78195,106067,71033,75188,107228,80809,12800,254840,452730,19326,2159,-27,-14,-43,-26,-43,18,586.174266642797,5.2920149592869,0.00902805745737683
"Wilson County",2790,41,47205,23703,23502,27225,634,163,18488,85,57,71942,5500,5228,3026,2001,1723,249,40.4,7027,8270,9075,6612,8100,9302,1330,21002,37900,1325,238,-16,-3,-23.0612244897959,-11.0555555555556,-28,12,591.039084842707,8.68552060163118,0.0146953405017921
"Winkler County",639,15,7777,3968,3809,2870,181,0,4619,67,0,55000,1238,716,352,218,303,118,32.6,1405,1515,1110,1351,1361,1183,140,3267,6024,79,47,-17.2477876106195,-50,-23.0612244897959,76,-38,8.93693693693694,821.653593930822,19.2876430500193,0.0234741784037559
"Wise County",5384,84,63247,31766,31481,49012,752,314,11859,239,8,59081,9057,7084,3641,1909,3378,961,38.5,9301,11437,12184,8841,11132,12311,1758,27736,50324,1552,268,-9,0,-23.0612244897959,-2,-22,9,851.265672680127,13.2812623523645,0.0156017830609212
"Wood County",2553,85,43315,21523,21792,36029,2389,38,4167,260,49,48038,8327,5165,1627,1003,1881,684,48.1,5598,6116,10817,4861,5944,12107,1343,15960,28331,873,391,-14,-4,-23.0612244897959,-11.0555555555556,-13,7,589.403209049983,19.6236869444765,0.0332941637289463
"Yoakum County",801,24,8481,4286,4195,2813,0,3,5516,13,0,62500,1036,932,486,198,462,28,31.7,1574,1586,1236,1588,1485,1290,306,3755,7034,50,138,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-31,8.93693693693694,944.464096215069,28.2985496993279,0.0299625468164794
"Young County",1685,32,18166,8922,9244,14306,271,75,3283,94,0,46351,3701,2014,1000,351,967,250,41.5,2691,2744,3764,2595,2772,4246,391,8248,14912,494,49,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-19,8.93693693693694,927.556974567874,17.6153253330397,0.0189910979228487
"Zapata County",1338,20,14415,7190,7225,753,0,102,13560,0,0,34550,2889,1058,365,145,603,221,29.4,2850,2587,1930,2444,2780,2276,731,5146,9052,97,214,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-36,8.93693693693694,928.199791883455,13.8744363510232,0.0149476831091181
"Zavala County",1208,28,12152,6163,5989,660,61,4,11374,11,0,25988,2588,738,164,46,510,353,30.8,2175,2372,1761,2079,1989,2137,495,4397,7722,238,90,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-32,8.93693693693694,994.075049374589,23.0414746543779,0.0231788079470199
