"county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","cases_per_10000","deaths_per_10000","death_per_case"
"Lynn County",571,18,5785,2957,2828,2853,77,15,2728,27,0,44922,1155,508,327,157,316,88,38.1,947,956,1141,813,936,1185,214,2419,4454,64,66,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-21,8.93693693693694,987.035436473639,31.1149524632671,0.031523642732049
"Madison County",1162,21,13979,8649,5330,7794,2428,159,3134,17,0,44004,2325,993,600,256,673,170,35.2,1732,4802,2271,1314,1769,2455,138,4249,7440,138,304,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-11,8.93693693693694,831.246870305458,15.0225338007011,0.0180722891566265
"Marion County",401,20,10140,5025,5115,7187,2402,0,394,34,0,36938,2832,1073,294,258,583,215,49.8,1243,1275,2844,958,1630,2808,434,3635,6600,192,38,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-17,8.93693693693694,395.463510848126,19.723865877712,0.0498753117206983
"Martin County",569,18,5547,2856,2691,2977,36,0,2500,26,0,71115,596,507,236,296,196,28,31.7,1013,1016,925,961,962,818,50,2527,4664,84,86,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-27,8.93693693693694,1025.77970073914,32.4499729583559,0.031634446397188
"Matagorda County",2602,72,36744,18249,18495,16503,3741,731,15230,160,0,44896,7467,3898,1738,708,3127,815,37.2,5556,6097,7058,5402,6256,7400,1093,16009,29450,332,349,-14,-11,-23.0612244897959,-11.0555555555556,-23,6,708.142826039626,19.5950359242325,0.0276710222905457
"Maverick County",8320,223,57471,28522,28949,1521,129,253,54767,666,64,37734,9836,4338,1472,770,3768,815,29.6,11029,10785,7294,10585,10355,8713,3114,21113,39850,278,395,-36,-25,18,-45,-39,14,1447.68665935863,38.802178490021,0.0268028846153846
"McCulloch County",467,12,8145,4171,3974,5067,161,0,2571,1,202,42367,1735,973,290,145,381,227,43.5,1163,1354,1765,911,1334,1885,122,3658,6566,61,104,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-18,8.93693693693694,573.357888275015,14.7329650092081,0.0256959314775161
"McLennan County",21894,344,245720,119894,125826,139446,34865,3713,63010,465,269,46262,47020,24680,10080,6428,24409,9523,33.2,39317,45625,37522,38167,46854,44078,6057,112592,207085,4002,1830,-19,-10,-35,-12,-24,10,891.014162461338,13.9996744261761,0.0157120672330319
"McMullen County",70,2,600,321,279,292,0,0,303,5,0,71389,78,61,14,41,44,0,42,91,108,144,79,77,151,72,202,288,11,11,-17.2477876106195,-10.86,-23.0612244897959,-60,-22.6871794871795,8.93693693693694,1166.66666666667,33.3333333333333,0.0285714285714286
"Medina County",3253,62,48548,25073,23475,21624,1140,303,24884,163,0,59305,6556,4517,2543,1538,2047,272,38.8,7229,9244,9404,6513,7939,9716,1176,20958,38461,617,386,-15,-16,-23.0612244897959,2,-29,13,670.058498805306,12.7708659471039,0.0190593298493698
"Midland County",13334,202,159883,80338,79545,75630,9374,2913,69124,608,146,75815,17786,16725,10032,10502,14078,3216,31.8,26472,33479,21665,24696,31568,24955,2941,80471,151573,1929,671,-27,-28,-30,-24,-26,10,833.984851422603,12.6342387871131,0.0151492425378731
"Milam County",1577,19,24479,12194,12285,15408,2063,122,6306,34,10,41768,5383,2678,943,433,1983,420,41.5,3869,3706,5061,3148,3947,5679,551,9527,17738,439,53,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-16,8,644.225662813023,7.76175497365088,0.0120481927710843
"Mitchell County",535,21,8774,5417,3357,4270,902,33,3446,30,0,52194,1201,892,429,117,468,55,34.6,1033,2999,1468,910,1083,1494,193,2801,5233,94,22,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-24,8.93693693693694,609.756097560976,23.9343514930476,0.0392523364485981
"Montague County",1713,46,19406,9512,9894,16748,41,19,2072,50,0,46592,4302,2329,942,471,1385,362,44,2385,3067,4386,2594,2958,4804,558,7938,14604,315,127,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-18,8.93693693693694,882.716685561167,23.70400906936,0.0268534734384121
"Montgomery County",33006,326,535187,265034,270153,363190,23915,14823,122934,746,673,74323,62643,55318,31323,37577,39935,9721,36.7,82971,101441,87673,78904,102412,94353,12775,249640,453600,13394,2304,-15,-1,13,-3,-27,9,616.719015970119,6.09132882525173,0.00987699206204933
"Moore County",2116,57,22016,11466,10550,7410,700,1735,11920,59,0,52469,3162,2383,797,383,1999,281,30.5,4261,4466,3009,3780,3901,3001,456,10591,20161,65,240,-19,-10.86,-23.0612244897959,2,-9,4,961.119186046512,25.890261627907,0.026937618147448
"Morris County",672,15,12530,6022,6508,8159,2953,13,1148,46,0,40227,2991,1329,490,214,925,211,42.9,1750,1914,2642,1559,2152,3129,553,5044,9182,197,35,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-18,8.93693693693694,536.312849162011,11.9712689545092,0.0223214285714286
"Nacogdoches County",3506,111,65411,31297,34114,39199,11221,1072,12372,172,17,41482,13744,6328,2492,1261,6627,2716,30.6,10416,11824,9885,10945,12631,11462,2670,28199,50725,776,1013,-13,-11,-23.0612244897959,14,-23,6,535.995474767241,16.9696228463103,0.0316600114090131
"Navarro County",4798,71,48239,23726,24513,27631,6323,302,12647,153,25,45103,9503,5065,1763,995,3650,903,38.9,7542,8057,9035,6988,8394,9895,2116,20325,37054,855,190,-14,-17,-23.0612244897959,-14,-20,8,994.630900308879,14.7183813926491,0.0147978324301792
"Newton County",469,20,14187,7436,6751,10442,3024,12,490,28,0,40180,2741,1450,427,163,337,52,43.5,1853,2641,3168,1793,1950,3342,650,4971,9244,105,14,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-12,8.93693693693694,330.584337774018,14.0974131246916,0.0426439232409382
"Nolan County",1399,38,14990,7629,7361,8548,733,42,5456,59,0,42019,3119,1653,549,231,1329,171,38.8,2632,2449,2691,1865,2596,3150,483,6316,11612,94,164,-23,-10.86,-23.0612244897959,-12,-15,8.93693693693694,933.288859239493,25.3502334889927,0.0271622587562545
"Nueces County",31926,517,358484,176836,181648,108703,12915,6823,225811,806,229,53317,60591,39294,17582,11390,39240,11645,35.1,53970,69354,57600,51608,69247,65779,10442,165116,308220,3736,2750,-16,-11,-12,-39,-28,9,890.583680164247,14.4218430948104,0.0161936979264549
"Ochiltree County",965,19,10484,5353,5131,4662,18,20,5553,69,0,50120,1770,1098,463,218,770,57,31.7,1983,1957,1527,1872,1919,1452,386,4679,8686,51,90,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-15,8.93693693693694,920.450209843571,18.1228538725677,0.0196891191709845
"Oldham County",167,2,2083,1208,875,1579,117,2,322,1,0,62426,233,193,45,110,47,10,29.9,584,295,344,262,270,368,31,776,1302,34,78,-17.2477876106195,-10.86,-23.0612244897959,13,-22.6871794871795,8.93693693693694,801.728276524244,9.60153624579933,0.0119760479041916
"Orange County",5946,81,83909,41505,42404,68273,6928,946,5946,240,78,53667,15220,9661,4547,2844,5346,1475,37.7,12318,15166,15005,11329,15454,16949,2349,36743,68417,605,625,-7,-6,-17,-7,-16,6,708.6248197452,9.6533149006662,0.0136226034308779
"Palo Pinto County",2298,50,28109,13904,14205,21203,681,177,5539,175,34,45067,5690,2796,1288,667,1830,934,41,3985,4580,5873,3622,4668,6500,1001,11724,20632,519,243,-3,-8,-23.0612244897959,-11.0555555555556,-19,7,817.53175139635,17.7878971148031,0.0217580504786771
"Panola County",1228,49,23574,11635,11939,17311,3844,150,2017,12,0,49704,4549,2703,1124,656,1225,238,38.7,3267,4190,4574,3186,4098,5181,391,9855,18628,165,179,-17.2477876106195,-10.86,-23.0612244897959,-16,-18,6,520.912870111139,20.7856112666497,0.0399022801302932
"Parker County",11314,115,125963,62545,63418,106370,1642,613,14461,622,132,70608,15502,13599,7968,6873,6983,1764,39.6,18146,22048,24316,17324,22485,25455,3417,58626,106716,2960,550,-12,-7,-21,-8,-17,10,898.200265157229,9.12966506037487,0.0101643980908609
"Parmer County",1113,32,9871,5065,4806,3468,161,22,6161,14,0,50410,1591,1014,464,153,679,106,34.1,1738,1837,1635,1528,1740,1649,126,4411,7901,125,72,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-12,8.93693693693694,1127.54533481917,32.418194711782,0.0287511230907457
"Pecos County",1313,26,15804,9058,6746,4094,654,66,10822,87,20,50543,2190,1440,612,178,975,120,36.2,2298,4078,2833,2210,2335,2401,233,6103,11305,185,99,-35,-10.86,-23.0612244897959,-8,-28,8.93693693693694,830.802328524424,16.4515312579094,0.0198019801980198
"Polk County",2492,70,46974,25288,21686,33325,4895,289,6946,694,42,43267,9868,4915,1851,998,2606,834,43.4,6000,9359,10708,5491,6435,10480,1664,17988,32231,706,292,3,5,-23.0612244897959,-13,-12,5,530.506237493081,14.9018606037382,0.0280898876404494
"Potter County",15947,302,121230,62467,58763,54757,11301,6343,45560,328,89,41852,25154,12058,3824,2417,13076,4276,33.6,19463,26156,18098,18449,22303,19592,2337,52859,99156,1176,876,-15,-11,-22,1,-18,5,1315.43347356265,24.911325579477,0.018937731234715
"Presidio County",615,19,7191,3558,3633,979,0,358,5854,0,0,26486,1901,400,281,7,770,90,41.4,1247,1039,1338,1190,1053,1597,264,2426,3516,155,417,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-28,8.93693693693694,855.235711305799,26.4219162842442,0.0308943089430894
"Rains County",632,20,11246,5722,5524,9653,172,9,973,109,0,48308,2222,1497,308,306,677,155,47.6,1437,1759,2825,1211,1652,3020,279,4601,8314,159,96,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-16,8.93693693693694,561.977592032723,17.7841010136938,0.0316455696202532
